"Year","Location","Name","ICU Rating","FIDE rating","Title","Score",,,,,,,,,,,,,,,,,,,,,,,,,,
1981,"Dublin ","David Dunne",2359,"na","NM",,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,"Dublin ","Philip Short",2282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,"Dublin ","John Delaney",2236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,"Dublin ","Paul Delaney",2358,,"NM",,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,"Dublin ","Doyle",2286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,"Dublin ","A McCarthy",2235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,"Dublin ","Eamon Keogh",2209,,"NM",,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,"Dublin ","Michael Littleton",2187,,"NM",,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,"Dublin ","Alan Ludgate",2214,,"NM",,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,"Dublin ","Pye",2193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,"Dublin ","Wallace",2199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,"Dublin ","Barry",2233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,"Dublin ","O Connell",2165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,"Dublin ","Russell",1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,"Dublin ","Smith ",2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,"Dublin ","Carton",2074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,"Dublin ","Cassidy",2061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,"Dublin ","Lyons",2043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,"Dublin ","O Brien",1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,"Dublin ","O Hanlon",1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,"Dublin ","O Reilly ",2125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,"Dublin ","Quinn ",2063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,"Dublin ","Ryan",2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,"Dublin ","Byrne",2036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,"Dublin ","Coffey",2143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,"Dublin ","Cronin ",1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,"Dublin ","J Kennedy",2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,"Dublin ","Martin",2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,"Dublin ","McDonnell",2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
